指标（元）,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
农林牧渔业,63741.223,61570.535,58976,53819,48540,39340,36466,36504,33612,31947,28356,25820,22687,19469,16717,14356,12560,10847,9269,8207,7497
采矿业,134728.53,126005.02,121522,108467,96674,91068,81429,69500,60544,59404,61677,60138,56946,52230,44196,38038,34233,28185,24125,20449,16774
制造业,106944.03,107314.61,97528,92459,82783,78147,72088,64452,59470,55324,51369,46431,41650,36665,30916,26810,24404,21144,18225,15934,14251
电力、热力、燃气及水生产和供应业,152031.45,147629.52,132964,125332,116728,107733,100162,90348,83863,78886,73339,67085,58202,52723,47309,41869,38515,33470,28424,24750,21543
建筑业,90308.32,85345.51,78295,75762,69986,65580,60501,55568,52082,48886,45804,42072,36483,32103,27529,24161,21223,18482,16164,14112,12578
交通运输、仓储及邮电通信业,127992.11,124970.89,115345,109851,100642,97050,88508,80225,73650,68822,63416,57993,53391,47078,40466,35315,32041,27903,24111,20911,18071
信息传输、计算机服务和软件业,239764.08,230622.25,220418,201506,177544,161352,147678,133150,122478,112042,100845,90915,80510,70918,64436,58154,54906,47700,43435,38799,33449
批发和零售业,130361.83,123993.164,115408,107735,96521,89047,80551,71201,65061,60328,55838,50308,46340,40654,33635,29139,25818,21074,17796,15256,13012
住宿和餐饮业,58107.22,57243.67,53995,53631,48833,50346,48260,45751,43382,40806,37264,34044,31267,27486,23382,20860,19321,17046,15236,13876,12618
金融业,186724.34,170244.2,174341,150843,133390,131405,129837,122851,117418,114777,108273,99653,89743,81109,70146,60398,53897,44011,35495,29229,24299
房地产业,102681.89,96678.555,90346,91143,83807,80157,75281,69277,65497,60244,55568,51048,46764,42837,35870,32242,30118,26085,22238,20253,18467
租赁和商务服务业,116243.12,110678.77,106500,102537,92924,88190,85147,81393,76782,72489,67131,62538,53162,46976,39566,35494,32915,27807,24510,21233,18723
科学研究、技术服务和地质勘查业,175922.45,175960.36,163486,151776,139851,133459,123343,107815,96638,89410,82259,76602,69254,64252,56376,50143,45512,38432,31644,27155,23351
水利、环境和公共设施管理业,74425.09,74154.2,68256,65802,63914,61158,56670,52229,47750,43528,39198,36123,32343,28868,25544,23159,21103,18383,15630,14322,12884
居民服务、修理和其他服务业,71702.94,70644.98,65478,65193,60722,60232,55343,50552,47577,44802,41882,38429,35135,33169,28206,25172,22858,20370,18030,15747,13680
教育业,138167.1,132174.38,120422,111392,106474,97681,92383,83412,74498,66592,56580,51950,47734,43194,38968,34543,29831,25908,20918,18259,16085
卫生、社会保障和社会福利业,150692.58,147099.16,135222,126828,115449,108903,98118,89648,80026,71624,63267,57979,52564,46206,40232,35662,32185,27892,23590,20808,18386
文化、体育和娱乐业,136958.66,131788.62,121151,117329,112081,107708,98621,87803,79875,72764,64375,59336,53558,47878,41428,37755,34158,30430,25847,22670,20522
