指标名称,GDP:第一产业,GDP:第二产业,GDP:第三产业,GDP:平减指数:第一产业,GDP:平减指数:第二产业,GDP:平减指数:第三产业
2023,89755.2,482588.5,688238.4,1284.48,392.22,1108.49
2022,88207,473789.9,642727.1,1316.29,406.73,1095.77
2021,83216.5,451544.1,614476.4,1289.38,395.47,1073.02
2020,78030.9,383562.4,551973.7,1296.38,364.08,1050.91
2019,70473.6,380670.6,535371,1207.5,370.24,1039.15
2018,64745.2,364835.2,489700.8,1143.48,372.13,1018.76
2017,62099.5,331580.5,438355.9,1134.96,357.8,984.75
2016,60139.2,295427.8,390828.1,1142.67,337.5,950.59
2015,57774.6,281338.9,349744.7,1133.72,340.79,919.54
2014,55626.3,277282.8,310654,1134.12,355.78,888.44
2013,53028.1,261951.6,277983.5,1124.94,360.16,861.33
2012,49084.6,244639.1,244856.2,1080.92,363.22,821.65
2011,44781.5,227035.1,216123.6,1030.21,365.28,783.35
2010,38430.8,191626.5,182061.9,921.02,341.26,722.51
2009,33583.8,160168.8,154765.1,839.07,321.42,673.56
2008,32464.1,149952.9,136827.5,843.56,331.89,652.58
2007,27674.1,126630.5,115787.7,756.17,307.85,610.09
2006,23317,104359.2,91762.2,659.57,291.89,561.2
2005,21806.7,88082.2,77430,646.18,279.5,540.48
2004,20904.3,74285,66650.9,650.87,264.31,522.74
2003,16970.25,62695.76,57756.03,560.63,247.94,498.82
